Date,CategoryCode,UnitsSold
2014-01-21,M01AB,2.0
2014-01-21,M01AE,3.34
2014-01-21,N02BA,4.0
2014-01-21,N02BE,42.0
2014-01-21,N05B,15.0
2014-01-21,N05C,2.0
2014-01-21,R03,0.0
2014-01-21,R06,1.0
2014-01-22,M01AB,7.0
2014-01-22,M01AE,3.0
2014-01-22,N02BA,7.0
2014-01-22,N02BE,18.1
2014-01-22,N05B,10.0
2014-01-22,N05C,0.0
2014-01-22,R03,5.0
2014-01-22,R06,2.0
2014-01-23,M01AB,4.0
2014-01-23,M01AE,4.67
2014-01-23,N02BA,5.2
2014-01-23,N02BE,26.2
2014-01-23,N05B,2.0
2014-01-23,N05C,3.0
2014-01-23,R03,1.0
2014-01-23,R06,3.0
2014-01-24,M01AB,4.67
2014-01-24,M01AE,7.34
2014-01-24,N02BA,7.0
2014-01-24,N02BE,19.6
2014-01-24,N05B,13.0
2014-01-24,N05C,1.0
2014-01-24,R03,0.0
2014-01-24,R06,0.0
2014-01-25,M01AB,6.0
2014-01-25,M01AE,9.0
2014-01-25,N02BA,5.0
2014-01-25,N02BE,37.8
2014-01-25,N05B,18.0
2014-01-25,N05C,0.0
2014-01-25,R03,5.0
2014-01-25,R06,1.0
2014-01-26,M01AB,4.33
2014-01-26,M01AE,1.68
2014-01-26,N02BA,0.0
2014-01-26,N02BE,24.0
2014-01-26,N05B,4.0
2014-01-26,N05C,0.0
2014-01-26,R03,0.0
2014-01-26,R06,0.0
2014-01-27,M01AB,4.34
2014-01-27,M01AE,4.67
2014-01-27,N02BA,1.2
2014-01-27,N02BE,23.6
2014-01-27,N05B,17.0
2014-01-27,N05C,2.0
2014-01-27,R03,1.0
2014-01-27,R06,3.0
2014-01-28,M01AB,6.0
2014-01-28,M01AE,3.34
2014-01-28,N02BA,2.8
2014-01-28,N02BE,13.38
2014-01-28,N05B,22.0
2014-01-28,N05C,5.0
2014-01-28,R03,1.0
2014-01-28,R06,5.0
2014-01-29,M01AB,5.33
2014-01-29,M01AE,4.0
2014-01-29,N02BA,2.0
2014-01-29,N02BE,14.0
2014-01-29,N05B,10.0
2014-01-29,N05C,1.0
2014-01-29,R03,1.0
2014-01-29,R06,2.0
2014-01-30,M01AB,3.02
2014-01-30,M01AE,1.34
2014-01-30,N02BA,2.4
2014-01-30,N02BE,25.5
2014-01-30,N05B,7.0
2014-01-30,N05C,1.0
2014-01-30,R03,3.0
2014-01-30,R06,2.0
2014-01-31,M01AB,1.0
2014-01-31,M01AE,2.68
2014-01-31,N02BA,7.1
2014-01-31,N02BE,26.9
2014-01-31,N05B,9.0
2014-01-31,N05C,0.0
2014-01-31,R03,1.0
2014-01-31,R06,0.0
2014-02-01,M01AB,4.33
2014-02-01,M01AE,4.32
2014-02-01,N02BA,5.0
2014-02-01,N02BE,43.0
2014-02-01,N05B,13.0
2014-02-01,N05C,1.0
2014-02-01,R03,14.0
2014-02-01,R06,0.0
2014-02-02,M01AB,7.0
2014-02-02,M01AE,3.0
2014-02-02,N02BA,0.2
2014-02-02,N02BE,13.5
2014-02-02,N05B,6.0
2014-02-02,N05C,2.0
2014-02-02,R03,8.0
2014-02-02,R06,0.0
2014-02-03,M01AB,5.0
2014-02-03,M01AE,1.0
2014-02-03,N02BA,8.5
2014-02-03,N02BE,32.4
2014-02-03,N05B,16.0
2014-02-03,N05C,1.0
2014-02-03,R03,1.0
2014-02-03,R06,0.0
2014-02-04,M01AB,1.33
2014-02-04,M01AE,3.0
2014-02-04,N02BA,7.0
2014-02-04,N02BE,30.6
2014-02-04,N05B,8.0
2014-02-04,N05C,1.0
2014-02-04,R03,17.0
2014-02-04,R06,2.0
2014-02-05,M01AB,3.0
2014-02-05,M01AE,4.02
2014-02-05,N02BA,6.2
2014-02-05,N02BE,32.4
2014-02-05,N05B,15.0
2014-02-05,N05C,1.0
2014-02-05,R03,1.0
2014-02-05,R06,1.0
2014-02-06,M01AB,3.33
2014-02-06,M01AE,6.68
2014-02-06,N02BA,3.5
2014-02-06,N02BE,41.4
2014-02-06,N05B,17.0
2014-02-06,N05C,2.0
2014-02-06,R03,5.0
2014-02-06,R06,2.0
2014-02-07,M01AB,2.66
2014-02-07,M01AE,8.67
2014-02-07,N02BA,11.7
2014-02-07,N02BE,21.4
2014-02-07,N05B,19.0
2014-02-07,N05C,1.0
2014-02-07,R03,0.0
2014-02-07,R06,0.0
2014-02-08,M01AB,3.33
2014-02-08,M01AE,3.35
2014-02-08,N02BA,14.4
2014-02-08,N02BE,37.1
2014-02-08,N05B,13.0
2014-02-08,N05C,1.0
2014-02-08,R03,1.0
2014-02-08,R06,1.0
2014-02-09,M01AB,4.0
2014-02-09,M01AE,3.0
2014-02-09,N02BA,2.0
2014-02-09,N02BE,31.5
2014-02-09,N05B,10.0
2014-02-09,N05C,0.0
2014-02-09,R03,6.0
2014-02-09,R06,0.0
2014-02-10,M01AB,5.0
2014-02-10,M01AE,10.33
2014-02-10,N02BA,8.5
2014-02-10,N02BE,40.1
2014-02-10,N05B,20.0
2014-02-10,N05C,3.0
2014-02-10,R03,3.0
2014-02-10,R06,1.0
2014-02-11,M01AB,10.0
2014-02-11,M01AE,6.99
2014-02-11,N02BA,13.3
2014-02-11,N02BE,44.6
2014-02-11,N05B,20.0
2014-02-11,N05C,2.0
2014-02-11,R03,6.0
2014-02-11,R06,2.2
2014-02-12,M01AB,9.0
2014-02-12,M01AE,1.67
2014-02-12,N02BA,9.1
2014-02-12,N02BE,73.6
2014-02-12,N05B,9.0
2014-02-12,N05C,0.0
2014-02-12,R03,5.0
2014-02-12,R06,0.0
2014-02-13,M01AB,4.33
2014-02-13,M01AE,3.67
2014-02-13,N02BA,10.0
2014-02-13,N02BE,49.1
2014-02-13,N05B,13.0
2014-02-13,N05C,3.0
2014-02-13,R03,0.0
2014-02-13,R06,1.0
2014-02-14,M01AB,4.0
2014-02-14,M01AE,4.01
2014-02-14,N02BA,3.2
2014-02-14,N02BE,42.3
2014-02-14,N05B,13.0
2014-02-14,N05C,4.0
2014-02-14,R03,0.0
2014-02-14,R06,6.0
2014-02-15,M01AB,1.0
2014-02-15,M01AE,2.34
2014-02-15,N02BA,2.0
2014-02-15,N02BE,37.0
2014-02-15,N05B,9.0
2014-02-15,N05C,0.0
2014-02-15,R03,1.0
2014-02-15,R06,5.0
2014-02-16,M01AB,0.0
2014-02-16,M01AE,1.68
2014-02-16,N02BA,1.2
2014-02-16,N02BE,34.0
2014-02-16,N05B,5.0
2014-02-16,N05C,2.0
2014-02-16,R03,3.0
2014-02-16,R06,1.0
2014-02-17,M01AB,7.34
2014-02-17,M01AE,4.0
2014-02-17,N02BA,12.7
2014-02-17,N02BE,27.0
2014-02-17,N05B,13.0
2014-02-17,N05C,1.0
2014-02-17,R03,7.0
2014-02-17,R06,0.0
2014-02-18,M01AB,7.34
2014-02-18,M01AE,7.36
2014-02-18,N02BA,6.1
2014-02-18,N02BE,45.0
2014-02-18,N05B,14.0
2014-02-18,N05C,0.0
2014-02-18,R03,13.0
2014-02-18,R06,5.0
2014-02-19,M01AB,3.33
2014-02-19,M01AE,5.02
2014-02-19,N02BA,5.5
2014-02-19,N02BE,66.8
2014-02-19,N05B,17.0
2014-02-19,N05C,1.0
2014-02-19,R03,6.0
2014-02-19,R06,1.0
2014-02-20,M01AB,7.0
2014-02-20,M01AE,7.02
2014-02-20,N02BA,3.2
2014-02-20,N02BE,21.5
2014-02-20,N05B,16.0
2014-02-20,N05C,3.0
2014-02-20,R03,8.0
2014-02-20,R06,1.0
2014-02-21,M01AB,6.0
2014-02-21,M01AE,4.34
2014-02-21,N02BA,9.0
2014-02-21,N02BE,25.4
2014-02-21,N05B,17.0
2014-02-21,N05C,0.0
2014-02-21,R03,0.0
2014-02-21,R06,0.0
2014-02-22,M01AB,7.0
2014-02-22,M01AE,3.17
2014-02-22,N02BA,5.7
2014-02-22,N02BE,26.0
2014-02-22,N05B,12.0
2014-02-22,N05C,0.0
2014-02-22,R03,1.0
2014-02-22,R06,0.0
2014-02-23,M01AB,1.0
2014-02-23,M01AE,3.34
2014-02-23,N02BA,2.0
2014-02-23,N02BE,21.0
2014-02-23,N05B,10.0
2014-02-23,N05C,0.0
2014-02-23,R03,0.0
2014-02-23,R06,0.0
2014-02-24,M01AB,7.0
2014-02-24,M01AE,4.68
2014-02-24,N02BA,5.5
2014-02-24,N02BE,26.5
2014-02-24,N05B,4.0
2014-02-24,N05C,0.0
2014-02-24,R03,0.0
2014-02-24,R06,3.0
2014-02-25,M01AB,5.0
2014-02-25,M01AE,1.68
2014-02-25,N02BA,11.2
2014-02-25,N02BE,34.5
2014-02-25,N05B,13.0
2014-02-25,N05C,0.0
2014-02-25,R03,0.0
2014-02-25,R06,2.0
2014-02-26,M01AB,5.0
2014-02-26,M01AE,4.01
2014-02-26,N02BA,1.0
2014-02-26,N02BE,34.0
2014-02-26,N05B,5.0
2014-02-26,N05C,0.0
2014-02-26,R03,12.0
2014-02-26,R06,1.0
2014-02-27,M01AB,3.0
2014-02-27,M01AE,6.34
2014-02-27,N02BA,4.0
2014-02-27,N02BE,33.2
2014-02-27,N05B,8.0
2014-02-27,N05C,1.0
2014-02-27,R03,2.0
2014-02-27,R06,1.0
2014-02-28,M01AB,7.0
2014-02-28,M01AE,7.36
2014-02-28,N02BA,5.3
2014-02-28,N02BE,37.0
2014-02-28,N05B,12.0
2014-02-28,N05C,1.0
2014-02-28,R03,2.0
2014-02-28,R06,0.0
2014-03-01,M01AB,6.34
2014-03-01,M01AE,3.68
2014-03-01,N02BA,11.36
2014-03-01,N02BE,50.7
2014-03-01,N05B,8.0
2014-03-01,N05C,0.0
2014-03-01,R03,0.0
2014-03-01,R06,2.1
2014-03-02,M01AB,3.34
2014-03-02,M01AE,1.0
2014-03-02,N02BA,2.0
2014-03-02,N02BE,6.6
2014-03-02,N05B,2.0
2014-03-02,N05C,0.0
2014-03-02,R03,0.0
2014-03-02,R06,1.0
2014-03-03,M01AB,4.0
2014-03-03,M01AE,3.68
2014-03-03,N02BA,1.6
2014-03-03,N02BE,22.1
2014-03-03,N05B,1.0
2014-03-03,N05C,2.0
2014-03-03,R03,0.0
2014-03-03,R06,2.2
2014-03-04,M01AB,5.34
2014-03-04,M01AE,7.02
2014-03-04,N02BA,7.2
2014-03-04,N02BE,47.28
2014-03-04,N05B,9.0
2014-03-04,N05C,0.0
2014-03-04,R03,5.0
2014-03-04,R06,4.0
2014-03-05,M01AB,3.34
2014-03-05,M01AE,1.0
2014-03-05,N02BA,3.0
2014-03-05,N02BE,25.0
2014-03-05,N05B,4.0
2014-03-05,N05C,0.0
2014-03-05,R03,1.0
2014-03-05,R06,0.0
2014-03-06,M01AB,3.0
2014-03-06,M01AE,2.0
2014-03-06,N02BA,5.5
2014-03-06,N02BE,44.1
2014-03-06,N05B,17.0
2014-03-06,N05C,1.0
2014-03-06,R03,5.0
2014-03-06,R06,1.0
2014-03-07,M01AB,4.0
2014-03-07,M01AE,4.34
2014-03-07,N02BA,9.5
2014-03-07,N02BE,25.0
2014-03-07,N05B,3.0
2014-03-07,N05C,1.0
2014-03-07,R03,0.0
2014-03-07,R06,2.0
2014-03-08,M01AB,4.34
2014-03-08,M01AE,3.07
2014-03-08,N02BA,1.0
2014-03-08,N02BE,27.6
2014-03-08,N05B,11.0
2014-03-08,N05C,0.0
2014-03-08,R03,0.0
2014-03-08,R06,0.0
2014-03-09,M01AB,1.0
2014-03-09,M01AE,0.0
2014-03-09,N02BA,4.0
2014-03-09,N02BE,11.3
2014-03-09,N05B,3.0
2014-03-09,N05C,0.0
2014-03-09,R03,5.0
2014-03-09,R06,0.0
2014-03-10,M01AB,6.68
2014-03-10,M01AE,5.35
2014-03-10,N02BA,3.8
2014-03-10,N02BE,47.0
2014-03-10,N05B,11.0
2014-03-10,N05C,0.0
2014-03-10,R03,0.0
2014-03-10,R06,2.0
2014-03-11,M01AB,6.0
2014-03-11,M01AE,5.7
2014-03-11,N02BA,7.0
2014-03-11,N02BE,30.4
2014-03-11,N05B,12.0
2014-03-11,N05C,1.0
2014-03-11,R03,1.0
2014-03-11,R06,5.0
2014-03-12,M01AB,6.34
2014-03-12,M01AE,2.68
2014-03-12,N02BA,6.5
2014-03-12,N02BE,19.6
2014-03-12,N05B,22.0
2014-03-12,N05C,3.0
2014-03-12,R03,2.0
2014-03-12,R06,2.0
2014-03-13,M01AB,2.31
2014-03-13,M01AE,4.36
2014-03-13,N02BA,5.3
2014-03-13,N02BE,15.5
2014-03-13,N05B,10.0
2014-03-13,N05C,0.0
2014-03-13,R03,26.0
2014-03-13,R06,2.0
2014-03-14,M01AB,4.34
2014-03-14,M01AE,1.68
2014-03-14,N02BA,1.2
2014-03-14,N02BE,16.0
2014-03-14,N05B,11.0
2014-03-14,N05C,0.0
2014-03-14,R03,1.0
2014-03-14,R06,2.0
2014-03-15,M01AB,4.0
2014-03-15,M01AE,2.0
2014-03-15,N02BA,11.0
2014-03-15,N02BE,23.3
2014-03-15,N05B,18.0
2014-03-15,N05C,1.0
2014-03-15,R03,6.0
2014-03-15,R06,2.0
2014-03-16,M01AB,2.68
2014-03-16,M01AE,2.0
2014-03-16,N02BA,1.4
2014-03-16,N02BE,13.0
2014-03-16,N05B,6.0
2014-03-16,N05C,0.0
2014-03-16,R03,0.0
2014-03-16,R06,4.0
2014-03-17,M01AB,8.68
2014-03-17,M01AE,3.34
2014-03-17,N02BA,7.0
2014-03-17,N02BE,37.0
2014-03-17,N05B,6.0
2014-03-17,N05C,1.0
2014-03-17,R03,0.0
2014-03-17,R06,1.0
2014-03-18,M01AB,8.0
2014-03-18,M01AE,4.0
2014-03-18,N02BA,5.0
2014-03-18,N02BE,20.1
2014-03-18,N05B,9.0
2014-03-18,N05C,0.0
2014-03-18,R03,0.0
2014-03-18,R06,4.0
2014-03-19,M01AB,4.0
2014-03-19,M01AE,3.02
2014-03-19,N02BA,4.0
2014-03-19,N02BE,21.8
2014-03-19,N05B,2.0
2014-03-19,N05C,0.0
2014-03-19,R03,0.0
2014-03-19,R06,2.0
2014-03-20,M01AB,3.0
2014-03-20,M01AE,5.34
2014-03-20,N02BA,1.6
2014-03-20,N02BE,38.2
2014-03-20,N05B,5.0
2014-03-20,N05C,0.0
2014-03-20,R03,7.0
2014-03-20,R06,4.2
2014-03-21,M01AB,6.0
2014-03-21,M01AE,3.68
2014-03-21,N02BA,4.5
2014-03-21,N02BE,40.0
2014-03-21,N05B,4.0
2014-03-21,N05C,0.0
2014-03-21,R03,2.0
2014-03-21,R06,1.0
2014-03-22,M01AB,3.34
2014-03-22,M01AE,2.34
2014-03-22,N02BA,0.0
2014-03-22,N02BE,26.3
2014-03-22,N05B,10.0
2014-03-22,N05C,2.0
2014-03-22,R03,18.0
2014-03-22,R06,8.4
2014-03-23,M01AB,6.34
2014-03-23,M01AE,2.0
2014-03-23,N02BA,4.0
2014-03-23,N02BE,19.4
2014-03-23,N05B,0.0
2014-03-23,N05C,1.0
2014-03-23,R03,0.0
2014-03-23,R06,3.0
2014-03-24,M01AB,5.68
2014-03-24,M01AE,1.0
2014-03-24,N02BA,4.0
2014-03-24,N02BE,23.6
2014-03-24,N05B,7.0
2014-03-24,N05C,0.0
2014-03-24,R03,6.0
2014-03-24,R06,3.5
2014-03-25,M01AB,4.0
2014-03-25,M01AE,1.34
2014-03-25,N02BA,9.0
2014-03-25,N02BE,38.6
2014-03-25,N05B,7.0
2014-03-25,N05C,0.0
2014-03-25,R03,1.0
2014-03-25,R06,1.0
2014-03-26,M01AB,2.34
2014-03-26,M01AE,3.99
2014-03-26,N02BA,9.0
2014-03-26,N02BE,6.7
2014-03-26,N05B,7.0
2014-03-26,N05C,3.0
2014-03-26,R03,3.0
2014-03-26,R06,0.0
2014-03-27,M01AB,4.0
2014-03-27,M01AE,0.33
2014-03-27,N02BA,2.0
2014-03-27,N02BE,20.7
2014-03-27,N05B,6.0
2014-03-27,N05C,1.0
2014-03-27,R03,1.0
2014-03-27,R06,5.0
2014-03-28,M01AB,2.67
2014-03-28,M01AE,2.0
2014-03-28,N02BA,8.0
2014-03-28,N02BE,11.0
2014-03-28,N05B,3.0
2014-03-28,N05C,0.0
2014-03-28,R03,9.0
2014-03-28,R06,5.0
2014-03-29,M01AB,4.0
2014-03-29,M01AE,6.33
2014-03-29,N02BA,4.2
2014-03-29,N02BE,24.0
2014-03-29,N05B,8.0
2014-03-29,N05C,2.0
2014-03-29,R03,9.0
2014-03-29,R06,3.0
2014-03-30,M01AB,3.0
2014-03-30,M01AE,2.34
2014-03-30,N02BA,0.0
2014-03-30,N02BE,12.0
2014-03-30,N05B,4.0
2014-03-30,N05C,0.0
2014-03-30,R03,0.0
2014-03-30,R06,7.0
2014-03-31,M01AB,5.34
2014-03-31,M01AE,2.34
2014-03-31,N02BA,4.0
2014-03-31,N02BE,15.4
2014-03-31,N05B,6.0
2014-03-31,N05C,1.0
2014-03-31,R03,4.0
2014-03-31,R06,6.0
2014-04-01,M01AB,4.34
2014-04-01,M01AE,1.34
2014-04-01,N02BA,6.5
2014-04-01,N02BE,27.5
2014-04-01,N05B,5.0
2014-04-01,N05C,3.0
2014-04-01,R03,3.0
2014-04-01,R06,1.0
2014-04-02,M01AB,2.0
2014-04-02,M01AE,4.68
2014-04-02,N02BA,8.9
2014-04-02,N02BE,23.0
2014-04-02,N05B,1.0
2014-04-02,N05C,0.0
2014-04-02,R03,7.0
2014-04-02,R06,3.0
2014-04-03,M01AB,1.0
2014-04-03,M01AE,1.34
2014-04-03,N02BA,3.0
2014-04-03,N02BE,19.2
2014-04-03,N05B,4.0
2014-04-03,N05C,0.0
2014-04-03,R03,0.0
2014-04-03,R06,4.0
2014-04-04,M01AB,3.0
2014-04-04,M01AE,3.67
2014-04-04,N02BA,3.0
2014-04-04,N02BE,24.0
2014-04-04,N05B,9.0
2014-04-04,N05C,3.0
2014-04-04,R03,8.0
2014-04-04,R06,2.0
2014-04-05,M01AB,2.0
2014-04-05,M01AE,7.68
2014-04-05,N02BA,10.0
2014-04-05,N02BE,25.6
2014-04-05,N05B,5.0
2014-04-05,N05C,0.0
2014-04-05,R03,5.0
2014-04-05,R06,3.0
2014-04-06,M01AB,2.0
2014-04-06,M01AE,1.0
2014-04-06,N02BA,1.0
2014-04-06,N02BE,19.0
2014-04-06,N05B,1.0
2014-04-06,N05C,0.0
2014-04-06,R03,0.0
2014-04-06,R06,1.0
2014-04-07,M01AB,6.34
2014-04-07,M01AE,6.0
2014-04-07,N02BA,6.5
2014-04-07,N02BE,31.5
2014-04-07,N05B,4.0
2014-04-07,N05C,0.0
2014-04-07,R03,0.0
2014-04-07,R06,1.0
2014-04-08,M01AB,4.34
2014-04-08,M01AE,2.34
2014-04-08,N02BA,1.7
2014-04-08,N02BE,19.0
2014-04-08,N05B,6.0
2014-04-08,N05C,1.0
2014-04-08,R03,0.0
2014-04-08,R06,4.7
2014-04-09,M01AB,6.0
2014-04-09,M01AE,1.02
2014-04-09,N02BA,1.0
2014-04-09,N02BE,18.0
2014-04-09,N05B,2.0
2014-04-09,N05C,1.0
2014-04-09,R03,2.0
2014-04-09,R06,2.6
2014-04-10,M01AB,3.33
2014-04-10,M01AE,1.68
2014-04-10,N02BA,1.0
2014-04-10,N02BE,18.0
2014-04-10,N05B,10.0
2014-04-10,N05C,0.0
2014-04-10,R03,4.0
2014-04-10,R06,4.0
2014-04-11,M01AB,6.0
2014-04-11,M01AE,4.0
2014-04-11,N02BA,3.0
2014-04-11,N02BE,25.0
2014-04-11,N05B,2.0
2014-04-11,N05C,2.0
2014-04-11,R03,0.0
2014-04-11,R06,2.0
2014-04-12,M01AB,7.02
2014-04-12,M01AE,3.34
2014-04-12,N02BA,6.0
2014-04-12,N02BE,23.5
2014-04-12,N05B,19.0
2014-04-12,N05C,0.0
2014-04-12,R03,11.0
2014-04-12,R06,4.0
2014-04-13,M01AB,3.0
2014-04-13,M01AE,2.0
2014-04-13,N02BA,2.0
2014-04-13,N02BE,6.0
2014-04-13,N05B,3.0
2014-04-13,N05C,0.0
2014-04-13,R03,5.0
2014-04-13,R06,2.0
2014-04-14,M01AB,1.34
2014-04-14,M01AE,4.68
2014-04-14,N02BA,5.35
2014-04-14,N02BE,28.28
2014-04-14,N05B,10.0
2014-04-14,N05C,0.0
2014-04-14,R03,5.0
2014-04-14,R06,5.0
2014-04-15,M01AB,4.34
2014-04-15,M01AE,3.0
2014-04-15,N02BA,6.4
2014-04-15,N02BE,18.7
2014-04-15,N05B,12.0
2014-04-15,N05C,0.0
2014-04-15,R03,10.0
2014-04-15,R06,1.0
2014-04-16,M01AB,2.0
2014-04-16,M01AE,1.01
2014-04-16,N02BA,4.2
2014-04-16,N02BE,25.62
2014-04-16,N05B,1.0
2014-04-16,N05C,0.0
2014-04-16,R03,6.0
2014-04-16,R06,4.0
2014-04-17,M01AB,5.34
2014-04-17,M01AE,0.34
2014-04-17,N02BA,7.2
2014-04-17,N02BE,16.0
2014-04-17,N05B,19.0
2014-04-17,N05C,0.0
2014-04-17,R03,0.0
2014-04-17,R06,0.0
2014-04-18,M01AB,7.0
2014-04-18,M01AE,7.0
2014-04-18,N02BA,8.0
2014-04-18,N02BE,23.3
2014-04-18,N05B,10.0
2014-04-18,N05C,1.0
2014-04-18,R03,0.0
2014-04-18,R06,5.0
2014-04-19,M01AB,7.34
2014-04-19,M01AE,3.35
2014-04-19,N02BA,4.0
2014-04-19,N02BE,22.3
2014-04-19,N05B,7.0
2014-04-19,N05C,0.0
2014-04-19,R03,3.0
2014-04-19,R06,5.0
2014-04-20,M01AB,0.0
2014-04-20,M01AE,0.0
2014-04-20,N02BA,0.0
2014-04-20,N02BE,0.0
2014-04-20,N05B,0.0
2014-04-20,N05C,0.0
2014-04-20,R03,0.0
2014-04-20,R06,0.0
2014-04-21,M01AB,1.34
2014-04-21,M01AE,1.68
2014-04-21,N02BA,2.1
2014-04-21,N02BE,13.5
2014-04-21,N05B,8.0
2014-04-21,N05C,0.0
2014-04-21,R03,0.0
2014-04-21,R06,1.0
2014-04-22,M01AB,5.34
2014-04-22,M01AE,7.16
2014-04-22,N02BA,3.3
2014-04-22,N02BE,32.0
2014-04-22,N05B,8.0
2014-04-22,N05C,1.0
2014-04-22,R03,0.0
2014-04-22,R06,1.0
2014-04-23,M01AB,6.34
2014-04-23,M01AE,2.34
2014-04-23,N02BA,3.0
2014-04-23,N02BE,24.9
2014-04-23,N05B,8.0
2014-04-23,N05C,1.0
2014-04-23,R03,2.0
2014-04-23,R06,1.0
2014-04-24,M01AB,2.0
2014-04-24,M01AE,2.0
2014-04-24,N02BA,1.1
2014-04-24,N02BE,26.0
2014-04-24,N05B,6.0
2014-04-24,N05C,0.0
2014-04-24,R03,6.0
2014-04-24,R06,2.0
2014-04-25,M01AB,3.0
2014-04-25,M01AE,2.02
2014-04-25,N02BA,5.0
2014-04-25,N02BE,24.9
2014-04-25,N05B,10.0
2014-04-25,N05C,1.0
2014-04-25,R03,1.0
2014-04-25,R06,3.0
2014-04-26,M01AB,4.34
2014-04-26,M01AE,2.67
2014-04-26,N02BA,5.5
